"","blotid","muscle","exercise","keap1c","nrf2n","nrf2c","ho1t","sod1t","nkrt","nkrc","nrf2t"
"40","J","DQ","EX",-0.768282276948287,1.5518964419432,-0.210273341420273,-0.772672560403935,-0.0858683287001252,0.772873998839543,0.558008935528014,0.0045917218912558
"41","K","G","SED",-0.576518197232523,-0.126249399383624,-0.668461319211876,-0.874307012417701,-0.25013466875664,-0.0373276457854365,-0.0919431219793524,-0.61384584301796
"42","K","S","SED",-0.711647460279005,-0.219749542483812,-0.0643273434371514,-0.799061649621631,-0.318194710917164,0.641586550785317,0.647320116841853,-0.0700609094936877
"43","K","SQ","SED",-0.486861178664252,0.867224143903184,-0.673790358502509,-0.47733303181405,0.230393486904569,0.041205158111643,-0.186929179838257,-0.445656020552609
"44","K","DQ","SED",-0.64589822248634,-0.821201553761632,-0.759909762421388,-1.24442576972359,-0.0364505527928849,-0.122023712477211,-0.114011539935047,-0.767921934963551
"45","L","G","SED",-0.669199079195631,-0.906438054303765,-0.150573269729459,-1.37236569691383,-0.0276957921230886,0.359379612799971,0.518625809466172,-0.30981946639566
"46","L","S","SED",-1.01612092908345,0.502362742391145,-0.982765446224643,NA,0.479339142424374,0.900323605595048,0.033355482858805,-0.1157973234884
"47","L","SQ","SED",-0.779398337499169,0.599449033232801,-0.0660307272568849,-0.967641817405266,0.220314393017369,0.883785397502746,0.713367610242284,0.104387060003577
"48","L","DQ","SED",-2.34544405656115,-0.441656341173727,-1.49027165609091,NA,-0.357450358780845,1.24406030092396,0.855172400470242,-1.10138375563719
"49","M","G","SED",-0.621846126976026,0.970749742490224,0.158553077893809,-0.970881668036915,-0.0461568977606449,0.890845637124572,0.780399204869834,0.268999510148546
"50","M","S","SED",-0.0898646546266035,0.362514920034103,-0.575799101705781,-1.49649943717771,0.130463480139904,-0.371579614678013,-0.485934447079177,-0.461444269304617
"51","M","SQ","SED",0.179617278527375,0.488609572664042,0.30123507913533,-1.44543809499235,0.42988853975715,0.136376986947185,0.121617800607955,0.31599426547456
"52","M","DQ","SED",-0.246473016849332,0.446720717403943,-0.0836405011443984,-0.950959017070044,-0.0739922403893624,0.21940745679477,0.162832515704934,-0.0270655600545623
"53","N","G","EX",-1.5435132898791,2.05898563776995,-0.136766104382453,-0.647994997254038,-0.142140481858784,1.59350429465552,1.40674718549665,0.04999100477642
"54","N","S","EX",-0.083617517197999,1.41480202858852,-0.523339851094536,-0.711573344416728,0.510450699490667,0.101916799350653,-0.439722333896537,0.0182992821526538
"55","N","SQ","EX",-0.544431219241029,1.88411568886972,-0.721625999793138,-1.38311868890885,-0.0253165361902268,0.0835952146138392,-0.177194780552108,-0.46083600462719
"56","N","DQ","EX",-0.58694338855958,2.13154778728298,-0.181168821448708,-0.94487491995641,0.0260693717394844,0.63044738649119,0.405774567110871,0.04350399793161
"57","O","G","EX",-0.0992517455787622,1.22185852788848,-0.202376830082446,-1.353055735798,0.32826323477429,0.0592583243634861,-0.103125084503683,-0.0399934212152762
"58","O","S","EX",0.454399147641326,1.30723750108884,-0.260987199057436,-1.59828394980073,-0.0456908908824083,-0.352438720739659,-0.715386346698762,0.101960426901666
